流水号,平台用户编号,金额
268103232356090894,10496,160.24
268103232356090895,106379,33540.66
268103232356090896,105675,66.06
268103232356090897,105678,215.54
268103232356090898,101542,3820.36
268103232356090899,100530,52097.11
268103232364479495,104120,9.27
268103232364479496,1064,211.55
268103232364479497,104126,52990.99
268103232364479498,108394,576.40
268103232364479499,1084,4331.56
268103232364479500,101551,0.65
268103232364479501,100550,8.47
268103232364479502,103180,84.97
268103232364479503,103181,601.74
268103232364479504,104131,219.76
268103232364479505,105704,1352.26
268103232364479506,10057,214.62
268103232364479507,100577,177.34
268103232364479508,107346,5.00
268103232364479509,104982,24.68
268103232364479510,107347,1248.09
268103232364479511,106427,10360.00
268103232364479512,105712,624.91
268103232372868099,107351,1003.01
268103232372868100,1006,194.56
268103232372868101,105722,334478.77
268103232372868102,102351,920.34
268103232372868103,101567,3.66
268103232372868104,10415,136.46
268103232372868105,108424,1838.80
268103232372868106,10320,65.99
268103232372868107,107362,75.21
268103232372868108,106458,315.77
268103232372868109,10500,293.03
268103232372868110,107363,509.94
268103232372868111,100636,32.59
268103232372868112,105737,536.91
268103232372868113,104159,424.20
268103232372868114,100637,239.98
268103232372868115,101575,1061.72
268103232372868116,10416,790.07
268103232381256705,10647,112312.87
268103232381256706,106479,379.38
268103232381256707,10321,6634.50
268103232381256708,10158,246.14
268103232381256709,100655,400.38
268103232381256710,105749,494.13
268103232381256711,107382,248.16
268103232381256712,107384,224.89
268103232381256713,108447,0.31
268103232381256714,104173,736.38
268103232381256715,105019,2.10
268103232381256716,100667,115426.05
268103232381256717,100678,367.84
268103232381256718,102401,25.44
268103232381256719,105775,77.21
268103232381256720,103237,13878.17
268103232381256721,100684,243.71
268103232381256722,107418,684.03
268103232381256723,105780,73.79
268103232389645320,100694,40.46
268103232389645321,1007,16.88
268103232389645322,104193,34.52
268103232389645323,106559,20820.00
268103232389645324,105790,32.75
268103232389645325,10420,175.24
268103232389645326,108478,16502.69
268103232389645327,100710,106.27
268103232389645328,105794,45872.29
268103232389645329,101615,8.53
268103232389645330,10243,16.45
268103232389645331,102432,193.80
268103232389645332,105800,118.50
268103232389645333,107458,45.24
268103232389645334,105803,1092.19
268103232389645335,103254,265.37
268103232389645336,100724,856.09
268103232389645337,104211,400.17
268103232389645338,105807,103.91
268103232389645339,100727,215.26
268103232389645340,10244,0.59
268103232389645341,104216,32570.68
